generic-monotonic-counter

INSTR_RETIRED.ANY
No assert:
2282 7384
2282 344287
2282 680396
2282 1017331
2464 1353513
2464 1691271
2454 2027261
2464 2364206
2464 2700318
2464 3033529
2464 3374100
2464 3707154
2464 4047035
2464 4383970
2464 4714496
2464 5056956
2464 5386505
2464 5726464
2464 6066808
2464 6403746
2464 6740568

With assert:
2434 7539
2434 10610062
2434 20901492
2434 31185188
2434 41464296
2434 51744234
2424 61994713
2434 72304146
2434 82584081
2434 92863082
2434 103145330
2434 113424464
3260 123645793
2434 133986417
2434 144205002
2434 154471014
2434 164824614
2434 175107123
2434 185385924
2434 195662979
2434 205942915

L2_STORE_LOCK_RQSTS.ALL
No assert:
24 24
23 24
23 27
24 25
24 24
25 34
25 36
23 34
25 29
23 36
22 31
23 33
22 33
22 35
24 35
25 40
26 36
24 37
25 37
25 37
25 38

With assert:
23 23
23 1211
25 1539
23 2751
22 2568
23 4149
24 5365
25 6212
22 7042
22 7344
25 6827
25 8020
22 8344
25 11041
23 11154
24 13984
22 11950
24 11701
23 12184
24 13001
24 14486

L2_STORE_LOCK_RQSTS.MISS
No assert:
22 22
22 22
21 23
21 26
21 25
22 28
21 27
20 26
22 26
22 29
20 21
21 26
21 24
22 30
21 27
21 26
21 24
21 27
22 26
22 26
21 29

With assert:
20 20
20 418
21 421
20 420
21 420
22 416
21 419
21 421
22 425
22 424
21 424
23 424
19 432
22 439
21 422
21 437
21 433
21 424
21 422
21 451
22 431

BR_INST_EXEC.ALL_BRANCHES
No assert:
510 1415
507 30417
507 59424
471 88687
478 117687
481 146843
482 175854
477 204976
505 234355
483 263158
508 292503
483 322122
489 349728
474 379717
483 408753
472 438051
493 467234
480 496222
510 525435
481 554353
484 583361

With assert:
471 1348
495 1246126
470 2450979
473 3655035
482 4862129
482 6071071
476 7275310
465 8478258
465 9684967
469 10890701
473 12093355
476 13295894
500 14504844
465 15709954
482 16905727
466 18123783
474 19311686
505 20529539
475 21738647
474 22945775
483 24145810

BR_MISP_EXEC.ALL_BRANCHES
No assert:
49 98
54 119
51 108
48 104
48 119
49 106
55 118
51 126
52 119
44 143
53 135
49 140
48 115
42 99
56 154
48 136
54 137
51 136
51 132
49 121
55 158

With assert:
49 92
50 2947
51 4481
49 5753
51 6708
44 7626
57 9375
53 10245
46 11259
51 12183
51 13493
52 15968
47 16082
53 17392
46 19309
51 19519
50 21067
54 22459
45 24878
52 24514
52 25666

generic-call-freq

INSTR_RETIRED.ANY
No assert:
2464 7566
2464 1007513
2464 2006448
2464 3007141
2464 4007011
2464 5006881
2464 6006751
2464 7007443
2464 8007394
2464 9007234
2464 10007956
2464 11006894
2464 12006770
2464 13007468
2464 14007344
2464 15007220
2464 15985953
2464 17006972
2464 18011169
2464 19007546
2464 20007422

With assert:
2434 7539
2434 64167803
2434 127870745
2434 191487246
2434 255276681
2434 318835084
2434 382524234
2434 446388174
2434 510091969
2434 573799918
2434 637216101
2434 701198694
2434 764564541
2434 828614947
2434 892312608
2434 956022862
2434 1019265770
2434 1083424748
2434 1147131694
2434 1210828302
2434 1274517173

L2_STORE_LOCK_RQSTS.ALL
No assert:
24 25
24 31
22 26
23 32
22 34
24 33
24 36
25 36
25 38
24 37
22 34
23 45
24 36
23 35
22 36
24 51
25 54
25 38
23 45
24 35
24 49

With assert:
24 24
25 14182
24 28990
24 42023
25 19727
23 72647
24 84919
23 99864
24 112042
25 43565
23 143421
24 157181
24 171311
24 185094
24 78958
23 212395
24 84285
23 242469
21 261524
24 209889
23 281547

L2_STORE_LOCK_RQSTS.MISS
No assert:
19 19
21 26
20 26
20 23
20 29
20 26
19 27
20 23
20 26
21 24
20 28
19 37
21 26
20 26
19 26
20 26
20 28
20 26
20 30
20 27
22 29

With assert:
20 20
21 779
20 786
20 780
20 800
20 823
19 915
19 817
20 861
20 844
20 803
20 842
21 890
22 872
21 769
21 851
21 898
21 921
20 894
20 975
20 882

BR_INST_EXEC.ALL_BRANCHES
No assert:
492 1401
488 84691
513 167858
510 251327
512 334670
486 416874
475 501208
485 584679
510 666382
473 751406
472 834716
475 917858
471 1001147
507 1084508
501 1167792
465 1251933
493 1334515
506 1418912
472 1501277
489 1584544
474 1667768

With assert:
467 1392
476 7064993
465 14069912
468 21078788
462 28084182
463 35086899
491 42067314
466 49102280
506 56108858
503 63118829
474 70122321
471 77126468
498 84128026
464 91142615
500 98148794
475 105152012
469 112153894
496 119135758
466 126101127
477 133173529
470 140180683

BR_MISP_EXEC.ALL_BRANCHES
No assert:
50 106
53 141
52 132
53 151
56 148
54 176
48 168
54 175
46 152
56 186
55 226
54 200
58 177
49 157
47 162
53 212
48 270
51 164
55 225
56 219
50 224

With assert:
50 95
50 10054
53 17889
48 25203
53 32677
57 40523
50 48311
55 55448
57 63132
58 70580
49 86242
52 85155
50 93659
55 102193
58 109882
50 116612
55 124894
47 133441
54 139793
48 148278
52 164297

generic-uniform

INSTR_RETIRED.ANY
No assert:
2464 7566
2464 343643
2464 681404
2464 1015643
2464 1353519
2464 1690457
2464 2026457
2464 2363395
2464 2701156
2464 3036333
2464 3374118
2464 3710233
2464 4041559
2464 4383994
2464 4715331
2464 5050505
2464 5393870
2464 5722505
2464 6066808
2464 6404568
2464 6740568

With assert:
2434 7539
2434 11899673
2434 23405394
2434 34901190
2434 46389626
2434 57904932
2434 69398980
2434 80892115
2434 92385992
2434 103882310
2434 115324101
2434 126808346
2424 138362189
2434 149787701
2434 161353304
2434 172843471
2434 184336692
2434 195743151
2434 207325614
2434 218818669
2434 230315536

L2_STORE_LOCK_RQSTS.ALL
No assert:
25 25
24 25
23 24
26 37
25 33
25 34
23 32
24 31
22 31
23 32
23 47
25 36
25 54
25 34
25 37
24 35
25 35
24 35
25 33
24 34
25 35

With assert:
25 26
24 2579
23 3954
24 4837
24 8050
25 9901
23 11230
24 10248
24 13584
23 14705
24 16858
23 12725
25 21092
22 22764
24 22141
24 24131
24 28253
25 19927
25 21110
25 28912
22 22158

L2_STORE_LOCK_RQSTS.MISS
No assert:
20 20
20 20
19 22
21 24
21 27
19 20
20 23
20 28
20 26
21 26
21 28
20 28
20 28
21 29
20 29
21 27
20 27
21 28
21 25
21 33
20 34

With assert:
22 22
21 675
19 748
18 786
19 784
19 766
20 794
19 764
20 775
19 792
19 754
22 761
19 784
19 777
19 787
20 758
20 775
20 777
21 810
19 777
20 765

BR_INST_EXEC.ALL_BRANCHES
No assert:
480 1393
476 30424
488 59428
514 88740
507 117730
481 146847
467 175829
485 205048
468 234310
493 262727
476 292456
508 320920
502 350628
479 378718
483 408786
479 437932
490 465902
514 496269
481 525335
483 554543
479 583331

With assert:
512 1423
510 1391773
483 2732089
488 4068979
501 5411244
513 6745275
509 8086618
485 9425080
486 10767519
514 12099544
501 13437137
481 14777331
499 16121358
481 17459163
508 18798770
496 20123304
484 21483288
485 22816619
493 24159953
481 25493273
489 26834388

BR_MISP_EXEC.ALL_BRANCHES
No assert:
48 100
59 121
45 99
59 115
44 101
46 106
51 117
49 115
49 119
48 134
54 120
50 147
50 145
54 148
48 143
52 139
47 136
54 151
52 148
53 139
52 160

With assert:
46 100
49 3169
49 4560
49 5479
45 6243
50 7464
51 8987
47 9795
51 11907
53 11976
52 12963
45 13668
55 15829
48 16277
52 17334
51 19844
51 20267
54 20445
55 23315
52 22981
49 23954

generic-timing-fract

INSTR_RETIRED.ANY
No assert:
2464 7566
2464 343643
2464 681404
2464 1018342
2464 1354342
2464 1691280
2464 2027280
2464 2363395
2464 2701156
2464 3037156
2464 3373295
2464 3705559
2464 4047056
2464 4377559
2464 4720932
2464 5050505
2464 5393870
2464 5729870
2464 6066808
2464 6404568
2464 6740568

With assert:
2444 7541
2444 24874530
2444 49332636
2444 73774349
2444 98213057
2444 122638236
2444 147078059
2444 171539197
2444 195895604
2444 220427888
