generic-monotonic-counter

INSTR_RETIRED.ANY
No assert:
2282 7889
2282 333561
2282 660325
2282 986263
2464 1311459
2464 1637380
2464 1959689
2464 2288318
2464 2614256
2464 2938433
2464 3265218
2464 3590333
2464 3916156
2464 4242094
2464 4567078
2464 4893005
2464 5219762
2464 5544762
2464 5869875
2464 6188365
2464 6520810

With assert:
2434 1278123
2434 1604730
2434 1930665
2434 2255665
2434 2581600
2434 2907535
2434 3233358
2434 3559293
2434 3884293
2434 4210228
2434 4530705
2434 4861187
2434 5187122
2434 5513105
2434 5831657
2434 6164022
2434 6489960
2434 6814960
2434 7141720
2434 7466720
2434 7791836

L2_STORE_LOCK_RQSTS.ALL
No assert:
22 22
23 24
22 24
24 49
21 24
24 64
24 64
23 68
23 71
24 83
23 92
23 92
24 36
24 36
23 35
24 36
23 35
24 36
26 38
25 37
24 37

With assert:
22 667
25 627
24 680
24 676
24 658
23 680
23 667
24 657
25 635
24 640
23 653
23 608
23 684
24 669
24 697
24 683
24 691
22 704
22 666
24 671
22 702

L2_STORE_LOCK_RQSTS.MISS
No assert:
21 21
20 21
19 19
21 26
21 27
22 30
21 23
21 27
19 26
22 30
21 25
23 26
20 27
21 29
22 28
22 28
22 29
23 29
22 32
22 32
21 28

With assert:
21 411
21 417
22 416
20 422
21 419
21 421
21 421
19 417
21 421
21 422
21 415
22 418
23 422
21 425
21 419
20 420
20 417
21 419
21 422
20 418
21 421

BR_INST_EXEC.ALL_BRANCHES
No assert:
484 1592
473 26781
474 52122
510 77128
510 101820
490 127583
476 152406
487 177589
474 202571
481 227714
478 252887
473 278017
471 302829
508 328196
504 353182
512 378327
487 403469
480 428452
476 453578
474 478906
492 503925

With assert:
473 153876
498 179397
494 204702
480 229686
487 254909
462 279740
469 304776
478 329715
466 355248
484 380182
469 405508
465 430114
471 455950
507 480740
462 505887
480 531006
466 555894
475 580980
473 605720
514 630969
502 656505

BR_MISP_EXEC.ALL_BRANCHES
No assert:
52 104
57 205
53 222
46 207
58 223
52 208
49 193
52 211
53 210
50 197
54 220
56 209
52 210
47 216
44 214
49 218
49 229
54 214
51 222
45 202
49 209

With assert:
52 1520
52 1487
54 1511
44 1465
56 1643
49 1543
50 1533
48 1527
55 1531
55 1503
52 1578
54 1525
57 1589
51 1643
50 1467
51 1600
52 1462
52 1622
47 1533
49 1566
50 1497

generic-call-freq

INSTR_RETIRED.ANY
No assert:
2464 8071
2464 987642
2464 1963580
2464 2940456
2464 3917332
2464 4894208
2464 5871906
2464 6847959
2464 7825658
2464 8802534
2464 9779433
2464 10756310
2464 11733070
2464 12709946
2464 13669307
2464 14664520
2464 15645696
2464 16618272
2464 17595148
2464 18572024
2464 19549722

With assert:
2434 6648598
2434 7627446
2434 8604321
2434 9574659
2434 10562188
2434 11534012
2434 12504053
2434 13488586
2434 14465462
2434 15443160
2434 16419180
2434 17395926
2434 18373618
2434 19350488
2434 20307100
2434 21304228
2434 22257218
2434 23258790
2434 24235801
2434 25212649
2434 26189535

L2_STORE_LOCK_RQSTS.ALL
No assert:
24 25
24 31
23 42
23 33
25 31
24 35
25 38
23 36
24 37
25 49
24 36
23 34
25 133
25 37
24 45
22 36
24 38
25 36
25 36
25 59
24 43

With assert:
23 2148
23 2037
23 2177
23 1618
24 2116
23 1710
24 2134
24 2186
23 2272
22 2194
25 2191
24 2142
24 1559
24 2187
24 2243
25 1683
24 2130
25 2215
23 2193
24 2195
23 1616

L2_STORE_LOCK_RQSTS.MISS
No assert:
20 20
20 23
20 27
19 21
20 27
22 31
20 28
21 24
20 25
19 22
20 28
20 28
21 33
20 28
19 27
19 27
19 28
20 27
21 28
20 21
21 37

With assert:
20 698
20 672
20 697
21 683
20 686
19 677
19 685
21 690
19 703
19 673
19 681
21 706
19 683
21 683
20 692
19 703
21 677
21 717
21 687
21 694
20 689

BR_INST_EXEC.ALL_BRANCHES
No assert:
484 1595
489 77517
477 152622
513 228140
511 303446
475 378688
492 453996
506 529539
470 604745
499 680060
517 755384
481 830799
476 905930
464 981218
479 1056533
491 1131975
500 1207287
478 1282599
487 1357866
508 1433163
483 1509169

With assert:
473 741321
500 817953
493 893256
469 968083
475 1043685
480 1118652
474 1193822
474 1269637
468 1344774
468 1420238
480 1496377
474 1571484
471 1645792
474 1721569
476 1796940
489 1871664
480 1947813
471 2022581
478 2097797
472 2173196
479 2248574

BR_MISP_EXEC.ALL_BRANCHES
No assert:
52 108
49 407
50 403
48 421
48 425
47 411
49 418
50 414
48 414
50 419
51 491
51 426
50 406
51 506
52 426
55 431
52 423
52 440
50 416
53 424
55 435

With assert:
61 2832
58 2997
55 2960
56 3024
52 2999
58 3092
56 2999
49 2989
53 3025
53 2933
53 3092
50 3235
56 3000
55 3023
47 2996
51 3011
48 3046
60 2976
56 3020
52 3062
50 2922

generic-uniform

INSTR_RETIRED.ANY
No assert:
2464 8071
2464 333743
2464 659681
2464 985619
2464 1310619
2464 1636557
2464 1961557
2464 2285515
2464 2614256
2464 2939256
2464 3265218
2464 3594057
2464 3916156
2464 4242094
2464 4567094
2464 4893032
2464 5218969
2464 5543970
2464 5862422
2464 6196632
2464 6520810

With assert:
2434 1469978
2434 1795650
2434 2119715
2434 2447408
2434 2770658
2434 3098455
2434 3424278
2434 3750213
2434 4076148
2434 4401148
2434 4727107
2434 5053042
2434 5371625
2434 5697568
2434 6023394
2434 6354912
2434 6680847
2434 7005847
2434 7331836
2434 7658578
2434 7982756

L2_STORE_LOCK_RQSTS.ALL
No assert:
25 26
23 24
25 30
23 33
25 32
23 32
25 34
25 29
23 35
23 32
26 37
23 36
25 36
24 34
26 38
23 34
25 39
23 33
25 36
22 33
25 34

With assert:
25 1175
26 1129
25 1119
23 1196
24 1069
25 1107
24 1049
22 1033
23 1069
25 1160
23 1177
24 1216
22 1104
25 1124
25 1121
26 1188
24 1190
24 1178
24 1163
24 1186
24 1136

L2_STORE_LOCK_RQSTS.MISS
No assert:
21 21
19 19
19 21
21 26
21 26
19 26
22 25
21 27
20 26
21 27
20 27
20 25
20 20
20 25
20 27
21 34
20 27
21 28
19 20
19 23
19 20

With assert:
20 688
19 686
20 703
20 671
20 690
20 681
20 685
19 670
18 663
20 691
20 681
19 686
20 697
20 687
19 675
19 689
22 683
20 706
19 696
20 694
20 687

BR_INST_EXEC.ALL_BRANCHES
No assert:
