generic-monotonic-counter

unhalted-cycles
No assert:
10513 18562
10108 775714
10060 1539402
9865 2298518
10629 3053971
10335 3822879
10505 4579829
13571 5298505
10203 6103178
10033 6853079
10168 7621889
10227 8390184
10300 9127134
10228 9898528
10257 10653298
10021 11413925
9962 12164195
10131 12931125
10018 13669807
10257 14467502
9882 15102309

With assert:
9849 17747
13553 8574369
9876 16775000
10019 24983180
10056 33220247
9955 41434967
10078 49700767
10460 57936287
10288 66144375
10213 74387490
10248 82631637
13102 90794155
10369 99109208
10036 107394780
10109 115570636
10140 123798168
9943 131999753
10144 140298322
10095 148513606
9990 156657340
9988 164957637

generic-call-freq

unhalted-cycles
No assert:
10428 18250
10156 2295080
10097 4575651
10133 6849569
10007 9120462
10235 11414512
10109 13697705
9928 15986498
10260 18248385
10197 20509554
10232 22820015
10244 25077871
10131 27385894
10186 29671288
10314 31959399
10332 33984893
10226 36438548
9757 38786384
10055 41059999
10101 43317443
10075 45606905

With assert:
10268 18113
10035 49640240
9723 98636463
10060 148101817
9975 197130772
9989 246235959
9994 295397320
10206 344262262
9981 393559167
9845 442474008
10349 491936031
10036 541221401
10071 590247670
10258 638338511
10193 692080427
25687 738224550
10296 787132760
10251 834903865
9941 885375765
10128 934309410
10261 983501458

generic-uniform

unhalted-cycles
No assert:
13889 22479
9982 776456
10061 1537156
10273 2296333
10113 3055673
10071 3812322
14017 4574024
10199 5331157
10012 6097480
9835 6845096
14038 7599773
10109 8378979
10282 9120493
10175 9903775
10218 10654454
10015 11409999
10015 12156530
10250 12927825
10441 13676378
9864 14459693
10023 15214999

With assert:
9777 17935
10204 9676018
9871 18960705
14277 28247985
10094 37531256
10145 46800458
10390 56062457
10371 65354031
9814 74653869
10025 83981743
10523 93160304
10212 102543966
9876 111726175
13766 120964808
10049 130252656
9998 139582589
9857 148885036
10335 158126020
13423 167187420
10067 176522954
10181 186021143

generic-timing-fract

unhalted-cycles
No assert:
10086 18337
10301 775817
10417 1534453
14129 2283163
10362 3057400
10438 3819842
10264 4577444
10171 5337641
10197 6096328
10028 6854219
10202 7613036
9968 8372919
10241 9133630
10050 9896138
10000 10654994
10268 11411504
10083 12158027
10025 12927722
10077 13698909
10118 14480954
10197 15194525

With assert:
9978 17915
10200 19958484
10357 39547557
10263 59031917
10176 78557424
10196 98093532
10231 117583356
9886 137075033
9985 156593344
10176 176093159
10055 195648299
9998 215153452
10131 234630777
13669 253887081
9966 273698772
9705 293218910
10197 312778734
9958 332176926
10285 352043039
10243 371587378
10148 390728088

generic-timing-mean

unhalted-cycles
No assert:
10452 18578
10344 776400
13842 1538681
10273 2298795
10190 3056103
9944 3816702
10122 4545558
14064 5324046
10024 6096751
10499 6857892
9788 7601122
10492 8376818
9992 9132503
9847 9869169
10428 10629149
9905 11410769
10432 12174234
10260 12902872
13654 13675932
10328 14452264
10008 15186473

With assert:
10267 18140
10446 20011446
10491 39566883
10082 59098077
10202 78637551
10209 98177513
10069 117832561
10182 137283981
13360 156637791
10317 176403023
10049 195895347
13785 215411639
10066 234984496
10245 254501142
13847 273615817
10269 293622730
10198 313060061
10062 332730809
10066 352459074
10455 371923864
10689 391591911

generic-uniform

unhalted-cycles
No assert:
10240 18382
10349 777729
10287 1535281
10125 2297335
10015 3056902
9879 3817157
10081 4576670
10044 5335610
10276 6084586
10226 6860904
10195 7603856
10296 8376011
10009 9132466
10078 9895868
9930 10651676
10031 11422210
10025 12179775
10120 12934004
10305 13689986
10102 14471270
9861 15222618

With assert:
9834 21958
10278 9656079
10028 18978149
10280 28240452
10200 37526497
10171 46889792
10240 56052747
9837 65387108
10095 74569696
10029 83934726
10320 93194881
9957 102533838
10000 111747365
10117 121076137
10044 130414059
10205 139615117
13914 148712925
10241 158112659
9936 167386146
10383 176710011
10191 185971904

